"Model","AIC"
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + Sex:Age",-15887.8607095307
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex",-15885.4588124368
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + Sex:Age",-15876.0782320374
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + Sex:Age",-15873.8381367861
"PVE2 ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-15534.3974480831
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + SegID:Age",-15525.8613220089
"PVE2 ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-15518.8801517464
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-15518.839819868
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-15510.2839125415
"PVE2 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + SegID:Age +      Sex:Age",-15510.0621408699
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-15506.4048687497
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-15503.9473569114
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-15494.5710973332
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-15492.3207225817
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-15354.5966677539
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-15353.5864678941
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-15347.5870670201
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-15339.0162607158
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-15338.7813651138
"PVE2 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-15338.3528069404
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-15335.1332235105
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-15332.6922829581
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-15323.2875447577
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-15321.046427438
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-14892.8961849503
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-14885.8528215876
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-14877.3114675511
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-14877.0983668072
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-14873.4070940841
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-14870.9684895371
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-14861.5975274697
"PVE2 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-14859.3386603526
"PVE2 ~ Sex",-2864.60450030088
"PVE2 ~ Age",-2860.41205655663
"PVE2 ~ Sex + Age",-2857.99781476926
"PVE2 ~ ParticipantType",-2856.12634370354
"PVE2 ~ ParticipantType + Sex",-2854.92418546172
"PVE2 ~ ParticipantType + Age",-2852.43072791581
"PVE2 ~ ParticipantType + Sex + Age",-2848.96212431479
"PVE2 ~ ParticipantType + Sex + ParticipantType:Sex",-2847.4091864972
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Sex",-2842.94936876353
"PVE2 ~ Sex + Age + Sex:Age",-2842.06013134588
"PVE2 ~ ParticipantType + Age + ParticipantType:Age",-2837.28095949169
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Age",-2834.04442613079
"PVE2 ~ ParticipantType + Sex + Age + Sex:Age",-2832.91975431834
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Sex + Sex:Age",-2829.29188369323
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Sex + ParticipantType:Age",-2828.42530415525
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Age + Sex:Age",-2818.08782093797
"PVE2 ~ ParticipantType + Sex + Age + ParticipantType:Sex + ParticipantType:Age +      Sex:Age",-2815.24514769674
