"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"1" "(Intercept)" 0.923385652173912 0.00190184017557331 208 485.522213713651 1.12152901605963e-319
"2" "ParticipantTypePatient" -0.00863137616845579 0.00448917063559608 56 -1.92271064503871 0.0596078323915128
"3" "SegID1" -0.0699921739130433 0.00249922059911585 208 -28.0056006011652 1.65963658156596e-72
"4" "SegID2" 0.0400817391304347 0.00249922059911584 208 16.0376955698167 3.25628888660334e-38
"5" "SegID3" 0.0261078260869565 0.00249922059911584 208 10.4463872041519 8.32743227092642e-21
"6" "SegID4" 0.000788260869565173 0.00249922059911584 208 0.31540267787647 0.752772149922312
"7" "ParticipantTypePatient:SegID1" -0.00414536516883195 0.00610640015373221 208 -0.678855801203647 0.497983871830666
"8" "ParticipantTypePatient:SegID2" 0.00653371228974698 0.00607916268538893 208 1.07477174536726 0.283722100880456
"9" "ParticipantTypePatient:SegID3" 0.0120715585791906 0.00607916268538893 208 1.98572718052178 0.0483770501205763
"10" "ParticipantTypePatient:SegID4" -0.009940543635749 0.00691012638339809 208 -1.43854729772116 0.151781805533869
