"Model","AIC"
"log10(Pyruvate) ~ ParticipantType + SegID + Age + SegID:Age",-6772.91022542528
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Age",-6770.08126326279
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-6765.60749354739
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-6763.94592685954
"log10(Pyruvate) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-6761.33002716207
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-6759.97841328708
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-6757.36446330934
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-6755.19661539167
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-6752.95349371124
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-6747.14956638568
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-6742.6608580978
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-6331.02062350365
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-6328.20060478956
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-6323.73377495882
"log10(Pyruvate) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6322.02680622859
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6318.07315188538
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-6315.4885291604
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-6313.29540903127
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-6311.07994125686
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-6305.2487291718
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-6300.76010454588
"log10(Pyruvate) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-6280.37279137206
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-6276.30079139746
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-6271.82193063053
"log10(Pyruvate) ~ SegID + Sex + Age + SegID:Sex + SegID:Age +      Sex:Age",-6267.54495388904
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-6266.17350783534
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-6263.58427331882
"log10(Pyruvate) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-6261.3930596001
