"Model","AIC"
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + Sex:Age",-14613.7526070087
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex",-14608.3811393606
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + Sex:Age",-14605.129182261
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + Sex:Age",-14604.2652636456
"PVE1 ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-14266.1156231279
"PVE1 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + SegID:Age",-14256.6769230246
"PVE1 ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-14256.4524134308
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-14248.6502872354
"PVE1 ~ ParticipantType + SegID + Sex + Age + SegID:Sex + SegID:Age +      Sex:Age",-14247.0132858752
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-14243.3193291478
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-14241.729816379
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-14236.394907806
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-14233.100707062
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-14232.2950194865
"PVE1 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-14053.44779307
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-14049.0118869575
"PVE1 ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-14041.258336676
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-14040.9917552948
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-14039.295520413
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-14035.6231867881
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-14034.0634497965
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-14028.721485594
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-14025.3598872436
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-14024.5980733831
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age",-13596.6417591206
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age",-13588.6146853951
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Sex + SegID:Age + Sex:Age",-13586.9860903486
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age",-13583.2811259003
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-13581.6932773752
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-13576.3487389772
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-13573.0707363714
"PVE1 ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-13572.2384768362
"PVE1 ~ Age",-4683.19532647345
"PVE1 ~ Sex + Age",-4678.42290660684
"PVE1 ~ ParticipantType + Age",-4673.84120727821
"PVE1 ~ ParticipantType + Sex + Age",-4669.00595208951
"PVE1 ~ Sex + Age + Sex:Age",-4668.25444738798
"PVE1 ~ ParticipantType",-4666.01802312924
"PVE1 ~ Sex",-4664.96539229798
"PVE1 ~ ParticipantType + Sex",-4661.93809646662
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Sex",-4661.12916383934
"PVE1 ~ ParticipantType + Age + ParticipantType:Age",-4660.97173963879
"PVE1 ~ ParticipantType + Sex + Age + Sex:Age",-4658.90341727252
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Age",-4655.16154757024
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Sex + Sex:Age",-4654.6427482367
"PVE1 ~ ParticipantType + Sex + ParticipantType:Sex",-4654.4065342473
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Sex + ParticipantType:Age",-4648.59406008135
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Sex + ParticipantType:Age +      Sex:Age",-4644.76540866604
"PVE1 ~ ParticipantType + Sex + Age + ParticipantType:Age + Sex:Age",-4644.62059767914
