"Model","AIC"
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-7806.75050063764
"log10(LacPyr) ~ SegID + Age + SegID:Age",-7804.89769394384
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-7800.35732090302
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-7799.23806274682
"log10(LacPyr) ~ SegID + Sex + Age + SegID:Age",-7798.30185322219
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-7796.36343335544
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-7795.00755741958
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-7787.82810560824
"log10(LacPyr) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-7786.50521805054
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-7783.97835667781
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-7341.4204044172
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-7334.9069345349
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-7330.59834698518
"log10(LacPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-7329.89055728029
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-7323.49220157684
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-7322.37604512038
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-7319.51090875247
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-7318.15418479278
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-7310.96553336032
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-7307.12397573004
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-7243.35983179352
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-7239.03969315311
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-7231.9472064628
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-7230.82550248759
"log10(LacPyr) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-7229.86995452596
"log10(LacPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-7227.95157461604
