"diff" "lwr" "upr" "p adj" "comparison" "signif"
11.4931004273606 -4.72409466478048 27.7102955195018 0.337179599058529 "Frontal-Cerebellum" NA
5.76235211957515 -22.184430007946 33.7091342470963 0.995819291264094 "Insula-Cerebellum" NA
2.98577345105441 -14.1280655902354 20.0996124923442 0.998347213823322 "Occipital-Cerebellum" NA
13.469744783451 -4.82571872080681 31.7652082877088 0.29249856764232 "Parietal-Cerebellum" NA
1.20297767972546 -16.813149367451 19.2191047269019 0.999993888128818 "Subcortex-Cerebellum" NA
-0.750040475584832 -18.5300350734557 17.029954122286 0.99999960473608 "Temporal-Cerebellum" NA
-5.73074830778549 -30.1790897953424 18.7175931797714 0.991634620317923 "Insula-Frontal" NA
-8.50732697630622 -18.9754813953161 1.96082744270364 0.188510509443878 "Occipital-Frontal" NA
1.97664435609036 -10.3287510071107 14.2820397192914 0.99896378512369 "Parietal-Frontal" NA
-10.2901227476352 -22.1762324555701 1.59598696029973 0.133992689031044 "Subcortex-Frontal" NA
-12.2431409029455 -23.7681996060227 -0.718082199868217 0.0299935488083325 "Temporal-Frontal" "*"
-2.77657866852073 -27.828673821757 22.2755164847155 0.999878337817483 "Occipital-Insula" NA
7.70739266387585 -18.1662999537475 33.5810852814992 0.971213115238756 "Parietal-Insula" NA
-4.55937443984968 -30.2363060831678 21.1175572034685 0.998175273784271 "Subcortex-Insula" NA
-6.51239259515998 -32.0241975633692 18.9994123730493 0.986881157831735 "Temporal-Insula" NA
10.4839713323966 -2.98112521828953 23.9490678830827 0.231117196419536 "Parietal-Occipital" NA
-1.78279577132895 -14.8658257744924 11.3002342318345 0.999595980634435 "Subcortex-Occipital" NA
-3.73581392663925 -16.4917164107439 9.02008855746538 0.97354263268407 "Temporal-Occipital" NA
-12.2667671037255 -26.8614980765159 2.32796386906488 0.158189326940557 "Subcortex-Parietal" NA
-14.2197852590358 -28.5220069846434 0.0824364665717034 0.0523352717270649 "Temporal-Parietal" NA
-1.9530181553103 -15.8961309796697 11.9900946690491 0.999526555882129 "Temporal-Subcortex" NA
