"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"Control" "138" 349.869804706689 18.8323147358668 57 314.120012630097 389.688257110965
"Patient" "138" 422.689999054891 44.5458762652549 56 342.244108836532 522.045027768065
"Control" "139" 359.308225504006 19.3403531795207 57 322.594013015889 400.200858372654
"Patient" "139" 452.11959256999 47.6473620685421 56 366.072694865341 558.392168694379
"Control" "142" 258.664223743319 13.9230250993698 57 232.233842807104 288.102628953642
"Patient" "142" 305.677699537793 32.5941171914972 56 246.886238774557 378.469275802936
"Control" "143" 252.350452007402 13.5831760043589 57 226.565213989329 281.070291008307
"Patient" "143" 322.62116093182 33.9999582378466 56 261.220260620785 398.454596261563
"Control" "144" 327.776047986297 17.6430821280258 57 294.283801997762 365.080024466764
"Patient" "144" 402.506136520836 42.4187669297909 56 325.901616557812 497.11686504688
"Control" "145" 318.933149430499 17.1670986434847 57 286.344473228414 355.230721441295
"Patient" "145" 436.10007719901 45.9591192637901 56 353.101995832024 538.60720012315
"Control" "146" 151.535677995438 8.15665582834592 57 136.051721084484 168.781853860399
"Patient" "146" 167.551131148502 17.8660490542068 56 135.325386302595 207.450961834824
"Control" "147" 224.380872118827 12.0776675997878 57 201.453573402845 249.91751162501
"Patient" "147" 282.253916513355 29.7457902209669 56 228.535665236285 348.598864447522
"Control" "152" 275.901616592427 14.8508559752934 57 247.709914153161 307.301798147844
"Patient" "152" 340.292339996823 36.786636062253 56 274.033034330861 422.572690709618
"Control" "153" 307.78712957504 16.5671458863547 57 276.337356722011 342.816180395549
"Patient" "153" 406.768428718109 43.972903266078 56 327.565371564523 505.122241131669
"Control" "154" 311.459429136237 16.7648134192785 57 279.634419712377 346.906421954955
"Patient" "154" 373.931994957311 40.4232175053847 56 301.122562333605 464.34626408979
"Control" "155" 322.910931178393 17.3812092549725 57 289.915804152315 359.661211914184
"Patient" "155" 416.57136792134 44.4194748421255 56 336.450145143221 515.772417033695
"Control" "156" 234.747618767258 12.6356747014121 57 210.76104305107 261.464090892474
