"diff" "lwr" "upr" "p adj" "comparison" "signif"
-0.513865374485416 -11.3833840044677 10.3556532554969 0.999999219184212 "Frontal-Cerebellum" NA
12.9160208861407 -5.81521267534947 31.6472544476309 0.370293436331601 "Insula-Cerebellum" NA
5.6120025393028 -5.85848858033375 17.0824936589394 0.754909572671855 "Occipital-Cerebellum" NA
-0.679157574098102 -12.9416283820161 11.5833132338199 0.999997991933178 "Parietal-Cerebellum" NA
5.86807691493117 -6.20716960376619 17.9433234336285 0.760675691369219 "Subcortex-Cerebellum" NA
0.504288906979095 -11.4126906585067 12.4212684724649 0.999999597266978 "Temporal-Cerebellum" NA
13.4298862606261 -2.95652962456895 29.8163021458212 0.180632966057932 "Insula-Frontal" NA
6.12586791378822 -0.890376192080567 13.142112019657 0.127496116612303 "Occipital-Frontal" NA
-0.165292199612686 -8.41294066099358 8.08235626176821 0.999999995415431 "Parietal-Frontal" NA
6.38194228941659 -1.58468141920616 14.3485659980393 0.20233324173927 "Subcortex-Frontal" NA
1.01815428146451 -6.70647624637842 8.74278480930745 0.99966664393219 "Temporal-Frontal" NA
-7.3040183468379 -24.0950980274511 9.48706133377532 0.841954783799703 "Occipital-Insula" NA
-13.5951784602388 -30.9369309850006 3.746574064523 0.224023770753253 "Parietal-Insula" NA
-7.04794397120953 -24.2578181370003 10.1619301945813 0.876195855197931 "Subcortex-Insula" NA
-12.4117319791616 -29.5109305650383 4.68746660671506 0.308897709996272 "Temporal-Insula" NA
-6.29116011340091 -15.3160942638891 2.73377403708725 0.357067023394957 "Parietal-Occipital" NA
0.256074375628369 -8.51278099967112 9.02492975092786 0.99999995624157 "Subcortex-Occipital" NA
-5.10771363232371 -13.657312925262 3.44188566061463 0.546357368828782 "Temporal-Occipital" NA
6.54723448902928 -3.23483320559945 16.329302183658 0.406890708028377 "Subcortex-Parietal" NA
1.1834464810772 -8.40256790756169 10.7694608697161 0.999771883079419 "Temporal-Parietal" NA
-5.36378800795208 -14.7091109040035 3.98153488809937 0.59330170964527 "Temporal-Subcortex" NA
