"Model","AIC"
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-5431.82992814561
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Age",-5428.69119135939
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-5427.3224058397
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-5425.55939895706
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-5423.53541746434
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-5422.69666333061
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-5421.54479104788
"log10(BicPyr) ~ SegID + Sex + Age + SegID:Age + Sex:Age",-5420.50006113876
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-5414.7413556328
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-5411.87217325213
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-5017.53099333438
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-5014.08523007311
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-5011.42148430451
"log10(BicPyr) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-5006.89717928155
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-5005.14155315182
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-5003.09926158077
"log10(BicPyr) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-5002.29014403443
