"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"69" "Control" "128" 0.378845731736196 0.0257175419402198 57 0.330694117391114 0.434008592553785
"70" "Patient" "128" 0.45420630040961 0.0612428853913632 56 0.34669472297812 0.595057696753015
"71" "Control" "129" 0.500388559078519 0.033968348265486 57 0.436788748123758 0.573248993093869
"72" "Patient" "129" 0.587207822408425 0.080509393336296 56 0.446180499025594 0.772810616893109
"73" "Control" "132" 0.406471493893207 0.027592887595158 57 0.354808621709013 0.465656878775837
"74" "Patient" "132" 0.448811982757825 0.0605156922701874 56 0.342577023033933 0.587990969397436
"75" "Control" "133" 0.448065536206199 0.0304164551796348 57 0.391116025908571 0.513307334490763
"76" "Patient" "133" 0.482378026195356 0.0661379832416149 56 0.366525231263916 0.634850046622249
"77" "Control" "134" 0.350673769893672 0.0238051180971346 57 0.306102835831746 0.401734575758826
"78" "Patient" "134" 0.463701540130159 0.0635784292178884 56 0.352332535950934 0.610273240133079
"79" "Control" "135" 0.326709332343205 0.0221783175919432 57 0.285184298652491 0.374280731248142
"80" "Patient" "135" 0.370076202683961 0.0498982116041207 56 0.282479917545744 0.484835867210992
"81" "Control" "138" 0.422399578763402 0.0286741487955928 57 0.368712233460795 0.483904215666528
"82" "Patient" "138" 0.553691289493079 0.0735907183554518 56 0.424264882345083 0.722600565868074
"83" "Control" "139" 0.369998111114721 0.025116930569039 57 0.322971036866962 0.423872690122527
"84" "Patient" "139" 0.44903129417853 0.0596804322728817 56 0.344069362854399 0.58601295238533
"85" "Control" "142" 0.436852973598228 0.0296553022221859 57 0.381328589533499 0.500462136277482
"86" "Patient" "142" 0.634110108739009 0.0854988410375265 56 0.484017013818511 0.830746892206912
"87" "Control" "143" 0.443513426085377 0.0301074399970901 57 0.387142492851267 0.508092402023045
"88" "Patient" "143" 0.625445365982731 0.0831275020000707 56 0.479246305021126 0.816243968353661
"89" "Control" "144" 0.358793449732191 0.0243563139779252 57 0.313190497464865 0.411036543614059
"90" "Patient" "144" 0.471261145178641 0.0626349860740271 56 0.361102943295488 0.615024250227038
"91" "Control" "145" 0.479360501924529 0.0325408808388349 57 0.41843337489804 0.54915908861555
"92" "Patient" "145" 0.588780190777023 0.0782543594507508 56 0.45115168525737 0.768393700787499
"93" "Control" "146" 0.454070587351613 0.0308241017274194 57 0.396357829951923 0.520186767403707
"94" "Patient" "146" 0.55778872780568 0.0752094171718692 56 0.425758974044423 0.730761496138463
"95" "Control" "147" 0.309942455178431 0.0210401158634576 57 0.270548505819351 0.355072467434647
"96" "Patient" "147" 0.38185193361439 0.0507516708919666 56 0.292593307430343 0.498339830413796
"97" "Control" "152" 0.354621922902633 0.0240731342897124 57 0.309549175239188 0.406257610300493
"98" "Patient" "152" 0.501010429734068 0.0686927514710512 56 0.380682516102768 0.659372154182551
"99" "Control" "153" 0.321078005167283 0.0217960409006839 57 0.280268717944619 0.367829439397417
"100" "Patient" "153" 0.445337691809684 0.0610595499986135 56 0.338380726172698 0.586102116363325
"101" "Control" "154" 0.403058245023431 0.0273611828045072 57 0.351829199670248 0.461746634542073
"102" "Patient" "154" 0.570653125386551 0.0782414281424255 56 0.433598976245868 0.751028040547736
"103" "Control" "155" 0.425688504541955 0.0288974140446442 57 0.371583133978847 0.487672034408003
"104" "Patient" "155" 0.563137580661045 0.0759312358442323 56 0.42984081514238 0.737770643413029
"105" "Control" "156" 0.352716208593733 0.0239437668887901 57 0.307885678837913 0.404074409288236
"106" "Patient" "156" 0.462367936636605 0.0623433592324463 56 0.352924482909267 0.60575029271787
"107" "Control" "157" 0.244524346227572 0.0165992767047756 57 0.213445094090895 0.280128977209282
"108" "Patient" "157" 0.259234093164976 0.034953335660529 56 0.197873579163754 0.339622476851509
"109" "Control" "160" 0.360348749227743 0.0244618938397417 57 0.314548117073257 0.412818306713173
"110" "Patient" "160" 0.418431036691522 0.0573698841581989 56 0.317937072167627 0.550689264617847
"111" "Control" "161" 0.361944427128749 0.0245702147469198 57 0.315940982957467 0.414646327625039
"112" "Patient" "161" 0.372845608530524 0.0502716168594365 56 0.284593810656174 0.488464058582228
"113" "Control" "162" 0.417910321606731 0.0283694003200642 57 0.364793564702502 0.478761288039365
"114" "Patient" "162" 0.578287466299207 0.0768597788487419 56 0.443111655369713 0.754700061770513
"115" "Control" "163" 0.465426680349332 0.0315949980936197 57 0.406270553882272 0.533196395138624
"116" "Patient" "163" 0.554041620889639 0.0736372806540189 56 0.424533323101808 0.723057769494354
"117" "Control" "166" 0.373222612473707 0.025335822434485 57 0.325785701363905 0.427566703752
"118" "Patient" "166" 0.509238703622005 0.0686637252309528 56 0.388700003309997 0.667157332282818
"119" "Control" "167" 0.341876154675785 0.0232079012899052 57 0.298423404981905 0.391655959903642
"120" "Patient" "167" 0.440890533831486 0.0594479293435721 56 0.336530100207881 0.577613897544789
"121" "Control" "168" 0.354669153562347 0.0240763404931094 57 0.309590402841928 0.406311718108581
"122" "Patient" "168" 0.556582537084487 0.0763135796771673 56 0.422905676405721 0.732513508024443
"123" "Control" "169" 0.29598159213934 0.0200923974370573 57 0.258362080332722 0.339078795048096
"124" "Patient" "169" 0.426320817383586 0.0574834066163011 56 0.325409089979782 0.558526005975744
"125" "Control" "170" 0.214339116343733 0.0145501842893612 57 0.187096432568597 0.245548545016582
"126" "Patient" "170" 0.202566627640209 0.0269229874584666 56 0.155216287620302 0.264361680482301
"127" "Control" "171" 0.220591211193613 0.0149746011378213 57 0.192553880851705 0.252710993102968
"128" "Patient" "171" 0.237913117435317 0.0326199204297051 56 0.18077336902348 0.313113882611985
"129" "Control" "176" 0.350310215643354 0.0237804386012424 57 0.305785489635494 0.401318085205337
"130" "Patient" "176" 0.468795163183998 0.0623072341482136 56 0.359213389349678 0.611805994822692
"131" "Control" "177" 0.376415390439863 0.0255525607909506 57 0.328572674538197 0.431224374817946
"132" "Patient" "177" 0.511812001908205 0.0680245718112159 56 0.392174959030306 0.667945566807699
"133" "Control" "178" 0.294397260384526 0.0199848467510171 57 0.256979118489885 0.337263772368828
"134" "Patient" "178" 0.356055755388817 0.0473231190572731 56 0.27282703563321 0.464674260200295
