"Model","AIC"
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age",-7461.65220254349
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-7458.75219539845
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Age +      Sex:Age",-7458.56628142021
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age",-7454.48997119347
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age",-7453.31038246031
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Age + Sex:Age",-7453.18975873724
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Age + Sex:Age",-7447.91454013848
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Age + Sex:Age",-7443.60950509767
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-6950.29093877555
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age",-6946.8859285319
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age",-6942.74093465012
"log10(LacBic) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6939.83249518442
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      SegID:Age + Sex:Age",-6939.64626794745
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-6935.56528601625
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age",-6934.3899298666
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + SegID:Age + Sex:Age",-6934.27091836095
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age + Sex:Age",-6928.98541581501
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-6925.96488820966
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:SegID +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-6924.68421523011
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age",-6919.42120177873
"log10(LacBic) ~ SegID + Sex + Age + SegID:Sex + SegID:Age + Sex:Age",-6918.35807359922
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age",-6915.25055145306
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + SegID:Sex +      SegID:Age + Sex:Age",-6912.16567776908
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age",-6908.12284413702
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age",-6906.93014661918
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      SegID:Sex + SegID:Age + Sex:Age",-6906.79026512231
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-6901.53715565516
"log10(LacBic) ~ ParticipantType + SegID + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-6897.22795360514
"log10(LacBic) ~ Sex",-6775.24922947968
"log10(LacBic) ~ ParticipantType",-6775.06914141842
"log10(LacBic) ~ ParticipantType + Sex",-6770.94271782714
"log10(LacBic) ~ Age",-6768.76465955384
"log10(LacBic) ~ ParticipantType + Sex + ParticipantType:Sex",-6767.26673885719
"log10(LacBic) ~ Sex + Age",-6766.09505808487
"log10(LacBic) ~ ParticipantType + Age",-6762.89267083638
"log10(LacBic) ~ ParticipantType + Sex + Age",-6759.60424935069
"log10(LacBic) ~ Sex + Age + Sex:Age",-6758.29166072947
