"diff" "lwr" "upr" "p adj" "comparison" "signif"
-3.66955755251219 -10.0636431667875 2.72452806176315 0.593412680567659 "Frontal-Cerebellum" NA
-5.46294498727514 -16.4817504312243 5.55586045667402 0.743334298679564 "Insula-Cerebellum" NA
1.40386406965928 -5.34374865850995 8.15147679782851 0.995608257346626 "Occipital-Cerebellum" NA
-2.0081585515202 -9.22165998221855 5.20534287917816 0.979500863407998 "Parietal-Cerebellum" NA
-1.37688655917691 -8.48025172946659 5.72647861111278 0.997025371001545 "Subcortex-Cerebellum" NA
-1.73188053363718 -8.74214383960383 5.27838277232946 0.988948795797393 "Temporal-Cerebellum" NA
-1.79338743476295 -11.4328341892904 7.84605931976452 0.99763145326962 "Insula-Frontal" NA
5.07342162217147 0.946057105786004 9.20078613855694 0.00660477923164715 "Occipital-Frontal" "**"
1.661399000992 -3.19034946862736 6.51314747061136 0.943750030425846 "Parietal-Frontal" NA
2.29267099333529 -2.39376230548068 6.97910429215126 0.75498192577119 "Subcortex-Frontal" NA
1.93767701887501 -2.60640175913368 6.4817557968837 0.85399732011096 "Temporal-Frontal" NA
6.86680905693442 -3.01068457353878 16.7443026874076 0.36035750754647 "Occipital-Insula" NA
3.45478643575495 -6.7466451197364 13.6562179912463 0.946584011218217 "Parietal-Insula" NA
4.08605842809823 -6.03779457523859 14.2099114314351 0.883491632704925 "Subcortex-Insula" NA
3.73106445363796 -6.32768271038151 13.7898116176574 0.919097093520723 "Temporal-Insula" NA
-3.41202262117947 -8.72101592491628 1.89697068255733 0.457168518422045 "Parietal-Occipital" NA
-2.78075062883619 -7.93910344256652 2.37760218489415 0.662212210810848 "Subcortex-Occipital" NA
-3.13574460329646 -8.1651181853062 1.89362897871327 0.494589689848091 "Temporal-Occipital" NA
0.631271992343288 -5.12311147700037 6.38565546168695 0.999885410048859 "Subcortex-Parietal" NA
0.276278017883012 -5.36277544779306 5.91533148355909 0.999999033727334 "Temporal-Parietal" NA
-0.354993974460276 -5.85245864833956 5.14247069941901 0.99999499110164 "Temporal-Subcortex" NA
