"Model","AIC"
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:Age +      SegID:Age",-12701.0471709688
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      SegID:Sex",-12700.2994963759
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Age + Sex:Age",-12698.9558377248
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + ParticipantType:SegID +      ParticipantType:Sex + SegID:Sex",-12693.2559826357
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Sex",-12691.1182086644
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Sex",-12683.5363002838
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Sex",-12677.8038568094
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Sex + Sex:Age",-12675.6152706366
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Sex",-12670.4849530238
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Sex +      Sex:Age",-12668.3795785819
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Sex +      Sex:Age",-12662.3364350753
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Sex + Sex:Age",-12655.3199482899
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Sex + SegID:Age",-12190.355167302
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Sex + SegID:Age",-12186.9286104314
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Age",-12181.4698142389
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Sex + SegID:Age",-12179.3372515365
"log10(BrainRegionVolcc) ~ SegID + Sex + Age + SegID:Sex + SegID:Age +      Sex:Age",-12174.9938925093
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Age",-12173.8874518384
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Sex + SegID:Age",-12173.5800051748
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      SegID:Sex + SegID:Age + Sex:Age",-12171.4233296684
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Age",-12168.1502439259
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age",-12166.2593952032
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Age + Sex:Age",-12165.964019753
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + SegID:Sex + SegID:Age + Sex:Age",-12164.1774179811
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      SegID:Age",-12161.4424986708
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Age",-12160.8266785808
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Age +      Sex:Age",-12158.7283723186
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Age + SegID:Sex + SegID:Age + Sex:Age",-12158.1110440128
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Age +      Sex:Age",-12152.6798000934
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:Sex + ParticipantType:Age + SegID:Sex + SegID:Age +      Sex:Age",-12151.0925417144
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Age + ParticipantType:SegID +      ParticipantType:Age + SegID:Age",-12147.7561937163
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Age + Sex:Age",-12145.659155103
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Sex + SegID:Age",-11634.3579280488
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Sex +      SegID:Age",-11626.7718707737
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Sex +      SegID:Age",-11621.0336430731
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + SegID:Sex + SegID:Age + Sex:Age",-11618.853735282
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Sex + SegID:Age",-11613.7141691015
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + SegID:Sex +      SegID:Age + Sex:Age",-11611.6139133198
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Age + SegID:Sex +      SegID:Age + Sex:Age",-11605.5654460153
"log10(BrainRegionVolcc) ~ ParticipantType + SegID + Sex + Age +      ParticipantType:SegID + ParticipantType:Sex + ParticipantType:Age +      SegID:Sex + SegID:Age + Sex:Age",-11598.5479988777
"log10(BrainRegionVolcc) ~ ParticipantType + Sex",1192.44043207493
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + ParticipantType:Sex",1198.81419211087
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age",1201.89233783357
"log10(BrainRegionVolcc) ~ Sex + Age",1202.56021558334
"log10(BrainRegionVolcc) ~ Sex",1203.27097744622
"log10(BrainRegionVolcc) ~ ParticipantType",1205.7541307916
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Sex",1208.99849202271
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Age",1214.92781741167
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + Sex:Age",1217.27898663329
"log10(BrainRegionVolcc) ~ Sex + Age + Sex:Age",1217.83765681151
"log10(BrainRegionVolcc) ~ ParticipantType + Age",1219.18739128751
"log10(BrainRegionVolcc) ~ Age",1221.19744838143
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age",1222.16601499407
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      Sex:Age",1224.13000195401
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Age +      Sex:Age",1230.33918222242
"log10(BrainRegionVolcc) ~ ParticipantType + Age + ParticipantType:Age",1232.89240474851
"log10(BrainRegionVolcc) ~ ParticipantType + Sex + Age + ParticipantType:Sex +      ParticipantType:Age + Sex:Age",1237.27293331386
